project_name,tenderer,winner,amount,publish_date,region,project_type,notice_type,source_url
浙江2023年度智慧城市系统项目,浙江省教育厅,科技有限责任公司4部,24299860.83,2023-04-09,浙江,工程,中标结果,http://example-gov-bidding.com/article/97
湖北2023年度服务器采购项目,湖北省教育厅,,43340167.37,2023-12-10,湖北,服务,招标公告,http://example-gov-bidding.com/article/98
江苏2023年度大数据平台项目,中国XX集团江苏分公司,科技有限责任公司11部,17834749.64,2023-04-16,江苏,工程,变更公告,http://example-gov-bidding.com/article/99
广东2023年度智慧城市系统项目,中国XX集团广东分公司,科技有限责任公司8部,8691730.29,2023-10-06,广东,货物,中标结果,http://example-gov-bidding.com/article/100
上海2023年度智慧城市系统项目,中国XX集团上海分公司,科技有限责任公司14部,47844948.67,2023-05-05,上海,服务,变更公告,http://example-gov-bidding.com/article/101
河南2023年度信息化改造项目,中国XX集团河南分公司,科技有限责任公司11部,21099274.05,2023-07-24,河南,货物,中标结果,http://example-gov-bidding.com/article/102
广东2023年度办公电脑采购项目,中国XX集团广东分公司,科技有限责任公司2部,25660487.55,2023-06-01,广东,货物,变更公告,http://example-gov-bidding.com/article/103
北京2023年度信息化改造项目,中国XX集团北京分公司,,23925944.45,2023-11-11,北京,工程,招标公告,http://example-gov-bidding.com/article/104
浙江2023年度信息化改造项目,中国XX集团浙江分公司,,24541282.14,2023-06-16,浙江,服务,招标公告,http://example-gov-bidding.com/article/105
湖北2023年度信息化改造项目,湖北市公安局,科技有限责任公司4部,25679626.31,2023-01-20,湖北,服务,中标结果,http://example-gov-bidding.com/article/106
广东2023年度网络安全设备项目,广东市公安局,,5415677.3,2023-04-18,广东,服务,招标公告,http://example-gov-bidding.com/article/107
山东2023年度云服务租赁项目,中国XX集团山东分公司,,10801834.68,2023-10-06,山东,工程,招标公告,http://example-gov-bidding.com/article/108
广东2023年度办公电脑采购项目,广东省教育厅,,39073575.77,2023-04-18,广东,工程,招标公告,http://example-gov-bidding.com/article/109
湖北2023年度网络安全设备项目,湖北省教育厅,科技有限责任公司12部,25285608.09,2023-04-20,湖北,工程,变更公告,http://example-gov-bidding.com/article/110
河南2023年度大数据平台项目,中国XX集团河南分公司,科技有限责任公司7部,47597444.74,2023-10-03,河南,货物,变更公告,http://example-gov-bidding.com/article/111
湖北2023年度云服务租赁项目,中国XX集团湖北分公司,,1488111.56,2023-07-23,湖北,货物,招标公告,http://example-gov-bidding.com/article/112
湖北2023年度安防监控工程项目,湖北省教育厅,科技有限责任公司1部,16676232.13,2023-08-06,湖北,货物,变更公告,http://example-gov-bidding.com/article/113
湖北2023年度网络安全设备项目,湖北市公安局,科技有限责任公司9部,41357897.93,2023-05-25,湖北,货物,中标结果,http://example-gov-bidding.com/article/114
浙江2023年度大数据平台项目,浙江市公安局,,48853362.33,2023-07-29,浙江,货物,招标公告,http://example-gov-bidding.com/article/115
北京2023年度政务云迁移项目,北京省教育厅,,39531475.32,2023-02-27,北京,服务,招标公告,http://example-gov-bidding.com/article/116
广东2023年度办公电脑采购项目,广东省教育厅,,1774059.27,2023-01-10,广东,服务,招标公告,http://example-gov-bidding.com/article/117
山东2023年度数据中心机房建设项目,山东市公安局,科技有限责任公司18部,43404426.44,2023-08-23,山东,工程,中标结果,http://example-gov-bidding.com/article/118
山东2023年度数据中心机房建设项目,山东市公安局,科技有限责任公司18部,43404426.44,2023-08-23,山东,工程,中标结果,http://example-gov-bidding.com/article/118
河南2023年度智慧城市系统项目,中国XX集团河南分公司,,18610799.39,2023-12-21,河南,工程,招标公告,http://example-gov-bidding.com/article/119
江苏2023年度智慧城市系统项目,江苏省教育厅,科技有限责任公司17部,18466249.3,2023-08-17,江苏,货物,中标结果,http://example-gov-bidding.com/article/120
四川2023年度政务云迁移项目,四川省教育厅,,31423385.8,2023-01-15,四川,工程,招标公告,http://example-gov-bidding.com/article/121
四川2023年度政务云迁移项目,四川省教育厅,,31423385.8,2023-01-15,四川,工程,招标公告,http://example-gov-bidding.com/article/121
广东2023年度大数据平台项目,中国XX集团广东分公司,科技有限责任公司17部,23191073.06,2023-02-01,广东,货物,中标结果,http://example-gov-bidding.com/article/122
江苏2023年度数据中心机房建设项目,江苏市公安局,科技有限责任公司19部,34253047.54,2023-05-26,江苏,货物,中标结果,http://example-gov-bidding.com/article/123
陕西2023年度网络安全设备项目,陕西市公安局,科技有限责任公司17部,44332126.05,2023-02-23,陕西,工程,变更公告,http://example-gov-bidding.com/article/124
湖北2023年度服务器采购项目,湖北省教育厅,,47584898.5,2023-11-27,湖北,工程,招标公告,http://example-gov-bidding.com/article/125
河南2023年度智慧城市系统项目,河南市公安局,科技有限责任公司6部,23569932.51,2023-12-25,河南,服务,变更公告,http://example-gov-bidding.com/article/126
广东2023年度云服务租赁项目,广东省教育厅,科技有限责任公司18部,38300192.06,2023-10-11,广东,工程,变更公告,http://example-gov-bidding.com/article/127
广东2023年度云服务租赁项目,广东省教育厅,科技有限责任公司18部,38300192.06,2023-10-11,广东,工程,变更公告,http://example-gov-bidding.com/article/127
北京2023年度大数据平台项目,中国XX集团北京分公司,科技有限责任公司14部,18596412.23,2023-01-22,北京,工程,变更公告,http://example-gov-bidding.com/article/128
山东2023年度云服务租赁项目,中国XX集团山东分公司,科技有限责任公司2部,41792840.08,2023-08-25,山东,工程,变更公告,http://example-gov-bidding.com/article/129
江苏2023年度大数据平台项目,江苏省教育厅,科技有限责任公司1部,8542434.71,2023-09-19,江苏,服务,中标结果,http://example-gov-bidding.com/article/130
四川2023年度办公电脑采购项目,四川省教育厅,,2630197.45,2023-02-14,四川,货物,招标公告,http://example-gov-bidding.com/article/131
广东2023年度信息化改造项目,广东市公安局,,41785735.35,2023-10-29,广东,货物,招标公告,http://example-gov-bidding.com/article/132
四川2023年度服务器采购项目,四川市公安局,科技有限责任公司4部,13221671.11,2023-04-19,四川,工程,中标结果,http://example-gov-bidding.com/article/133
浙江2023年度数据中心机房建设项目,浙江市公安局,,17927647.92,2023-11-27,浙江,工程,招标公告,http://example-gov-bidding.com/article/134
浙江2023年度网络安全设备项目,中国XX集团浙江分公司,科技有限责任公司9部,36785944.76,2023-11-07,浙江,货物,变更公告,http://example-gov-bidding.com/article/135
浙江2023年度信息化改造项目,中国XX集团浙江分公司,科技有限责任公司12部,47750451.05,2023-12-25,浙江,工程,变更公告,http://example-gov-bidding.com/article/136
陕西2023年度安防监控工程项目,陕西省教育厅,科技有限责任公司4部,7879969.73,2023-04-14,陕西,服务,变更公告,http://example-gov-bidding.com/article/137
四川2023年度大数据平台项目,四川市公安局,科技有限责任公司17部,29514676.04,2023-05-11,四川,服务,变更公告,http://example-gov-bidding.com/article/138
上海2023年度安防监控工程项目,中国XX集团上海分公司,,38532796.37,2023-02-22,上海,工程,招标公告,http://example-gov-bidding.com/article/139
上海2023年度数据中心机房建设项目,中国XX集团上海分公司,科技有限责任公司1部,45755537.58,2023-02-20,上海,货物,中标结果,http://example-gov-bidding.com/article/140
四川2023年度网络安全设备项目,中国XX集团四川分公司,科技有限责任公司15部,12558195.3,2023-11-27,四川,服务,变更公告,http://example-gov-bidding.com/article/141
广东2023年度智慧城市系统项目,中国XX集团广东分公司,,22114133.14,2023-12-23,广东,工程,招标公告,http://example-gov-bidding.com/article/142
上海2023年度办公电脑采购项目,中国XX集团上海分公司,,39233284.24,2023-11-06,上海,货物,招标公告,http://example-gov-bidding.com/article/143
四川2023年度云服务租赁项目,中国XX集团四川分公司,科技有限责任公司14部,15878636.8,2023-10-11,四川,工程,中标结果,http://example-gov-bidding.com/article/144
北京2023年度网络安全设备项目,中国XX集团北京分公司,科技有限责任公司9部,19986532.82,2023-10-07,北京,工程,变更公告,http://example-gov-bidding.com/article/145
北京2023年度网络安全设备项目,中国XX集团北京分公司,科技有限责任公司9部,19986532.82,2023-10-07,北京,工程,变更公告,http://example-gov-bidding.com/article/145
浙江2023年度大数据平台项目,浙江市公安局,,30102880.87,2023-04-13,浙江,货物,招标公告,http://example-gov-bidding.com/article/146
湖北2023年度云服务租赁项目,湖北市公安局,科技有限责任公司13部,10578965.35,2023-05-27,湖北,服务,变更公告,http://example-gov-bidding.com/article/147
湖北2023年度大数据平台项目,湖北市公安局,,7655819.08,2023-11-17,湖北,工程,招标公告,http://example-gov-bidding.com/article/148
湖北2023年度办公电脑采购项目,中国XX集团湖北分公司,科技有限责任公司5部,48474010.14,2023-12-02,湖北,服务,变更公告,http://example-gov-bidding.com/article/149
江苏2023年度智慧城市系统项目,江苏市公安局,科技有限责任公司11部,20856442.17,2023-11-16,江苏,货物,变更公告,http://example-gov-bidding.com/article/150
上海2023年度智慧城市系统项目,上海省教育厅,,28746608.13,2023-01-20,上海,工程,招标公告,http://example-gov-bidding.com/article/151
浙江2023年度智慧城市系统项目,中国XX集团浙江分公司,,10819977.74,2023-10-18,浙江,工程,招标公告,http://example-gov-bidding.com/article/152
山东2023年度网络安全设备项目,山东市公安局,科技有限责任公司18部,3778575.89,2023-05-17,山东,货物,中标结果,http://example-gov-bidding.com/article/153
江苏2023年度智慧城市系统项目,中国XX集团江苏分公司,,8770668.94,2023-10-23,江苏,工程,招标公告,http://example-gov-bidding.com/article/154
上海2023年度数据中心机房建设项目,中国XX集团上海分公司,,9667482.88,2023-09-19,上海,服务,招标公告,http://example-gov-bidding.com/article/155
江苏2023年度数据中心机房建设项目,中国XX集团江苏分公司,科技有限责任公司14部,9118570.58,2023-08-01,江苏,工程,变更公告,http://example-gov-bidding.com/article/156
河南2023年度政务云迁移项目,河南市公安局,科技有限责任公司3部,37923139.25,2023-02-04,河南,货物,中标结果,http://example-gov-bidding.com/article/157
江苏2023年度智慧城市系统项目,江苏省教育厅,科技有限责任公司11部,23333310.46,2023-09-28,江苏,服务,中标结果,http://example-gov-bidding.com/article/158
广东2023年度办公电脑采购项目,中国XX集团广东分公司,科技有限责任公司1部,20002247.2,2023-09-24,广东,货物,变更公告,http://example-gov-bidding.com/article/159
广东2023年度信息化改造项目,广东省教育厅,,18750019.97,2023-07-31,广东,货物,招标公告,http://example-gov-bidding.com/article/160
广东2023年度大数据平台项目,广东省教育厅,,47319653.72,2023-01-07,广东,服务,招标公告,http://example-gov-bidding.com/article/161
上海2023年度办公电脑采购项目,上海省教育厅,科技有限责任公司16部,39590246.74,2023-03-28,上海,工程,中标结果,http://example-gov-bidding.com/article/162
四川2023年度网络安全设备项目,四川省教育厅,,9518142.33,2023-09-26,四川,货物,招标公告,http://example-gov-bidding.com/article/163
广东2023年度信息化改造项目,广东市公安局,科技有限责任公司15部,9566515.18,2023-05-12,广东,服务,中标结果,http://example-gov-bidding.com/article/164
浙江2023年度办公电脑采购项目,中国XX集团浙江分公司,科技有限责任公司1部,27638482.64,2023-10-02,浙江,工程,变更公告,http://example-gov-bidding.com/article/165
北京2023年度大数据平台项目,中国XX集团北京分公司,科技有限责任公司5部,6395829.53,2023-12-22,北京,服务,变更公告,http://example-gov-bidding.com/article/166
浙江2023年度网络安全设备项目,中国XX集团浙江分公司,,25409997.16,2023-08-12,浙江,工程,招标公告,http://example-gov-bidding.com/article/167
陕西2023年度云服务租赁项目,陕西省教育厅,科技有限责任公司9部,36883275.7,2023-04-14,陕西,服务,中标结果,http://example-gov-bidding.com/article/168
广东2023年度数据中心机房建设项目,中国XX集团广东分公司,,12433342.12,2023-04-06,广东,货物,招标公告,http://example-gov-bidding.com/article/169
湖北2023年度网络安全设备项目,湖北市公安局,,5449363.27,2023-05-21,湖北,服务,招标公告,http://example-gov-bidding.com/article/170
江苏2023年度信息化改造项目,江苏市公安局,科技有限责任公司7部,32740892.92,2023-03-22,江苏,货物,中标结果,http://example-gov-bidding.com/article/171
北京2023年度智慧城市系统项目,北京省教育厅,科技有限责任公司18部,45845176.37,2023-02-20,北京,服务,中标结果,http://example-gov-bidding.com/article/172
四川2023年度数据中心机房建设项目,四川省教育厅,,34096110.6,2023-02-24,四川,货物,招标公告,http://example-gov-bidding.com/article/173
陕西2023年度政务云迁移项目,中国XX集团陕西分公司,科技有限责任公司13部,40595952.78,2023-03-16,陕西,服务,变更公告,http://example-gov-bidding.com/article/174
江苏2023年度服务器采购项目,中国XX集团江苏分公司,科技有限责任公司13部,30073502.27,2023-06-13,江苏,工程,变更公告,http://example-gov-bidding.com/article/175
北京2023年度信息化改造项目,中国XX集团北京分公司,科技有限责任公司10部,23554912.61,2023-06-22,北京,服务,中标结果,http://example-gov-bidding.com/article/176
北京2023年度信息化改造项目,中国XX集团北京分公司,科技有限责任公司10部,23554912.61,2023-06-22,北京,服务,中标结果,http://example-gov-bidding.com/article/176
山东2023年度云服务租赁项目,山东省教育厅,,45832399.55,2023-03-22,山东,货物,招标公告,http://example-gov-bidding.com/article/177
河南2023年度网络安全设备项目,中国XX集团河南分公司,科技有限责任公司8部,41180107.0,2023-07-11,河南,服务,变更公告,http://example-gov-bidding.com/article/178
北京2023年度云服务租赁项目,北京市公安局,科技有限责任公司7部,33883621.34,2023-03-20,北京,服务,中标结果,http://example-gov-bidding.com/article/179
